OBJECTID,OBJECTID_1,OBJECTID_2,FACILITY,MAPLABEL,AIRPORTID,CITY,COUNTY,FNCTNLCLSS,CLASSCODE,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,MANAGER,MNGREMAIL,PHONE,F5010URL,LATDD,LONGDD,LATDMS,PMTLAT,LONGDMS,ARPLATDMS,ARPLONGDMS,ARPLATS,ARPLONGS,PMTLONG
62,101,106,FALLBROOK COMMUNITY AIRPARK,FALLBROOK COMMUNITY AIRPARK,L18,Fallbrook,San Diego,Community,4,COMMUNITY,General Aviation,01568.5*A,11,Meadow Chase,mkchase6@gmail.com,760-788-3366,http://www.gcr1.com/5010web/airport.cfm?Site=L18,33.354198,-117.250869,33-21-15.113N,33-21-15N,117-15-03.127W,33-21-15.1130N,117-15-03.1270W,120075.1130N,422103.1270W,117-15-03W
63,73,77,FIREBAUGH AIRPORT,FIREBAUGH,F34,Mendota,Fresno,Community,4,COMMUNITY-Agriculture,General Aviation,01570.41*A,6,Ben Gallegos,citymanager@ci.firebaugh.ca.us,559-659-2043,http://www.gcr1.com/5010web/airport.cfm?Site=F34,36.859989,-120.464468,36-51-35.959N,36-51-36N,120-27-52.083W,36-51-35.9590N,120-27-52.0830W,132695.9590N,433672.0830W,120-27-52W
64,196,206,FLABOB AIRPORT,FLABOB,RIR,Riverside/rubidoux/,Riverside,Regional,3,REGIONAL,Not a NPIAS Facility,02113.*A,8,Beth LaRock,beth@tomwathercenter.org,951-683-2309,http://www.gcr1.com/5010web/airport.cfm?Site=RIR,33.988778,-117.409972,33-59-23.052N,33-59-23N,117-24-38.165W,33-59-19.6000N,117-24-35.9000W,122359.6000N,422675.9000W,117-24-38W
65,26,26,FORT BIDWELL AIRPORT,FORT BIDWELL,A28,Fort Bidwell,Modoc,Limited Use,5,LIMITED USE-Medical Emergency,Not a NPIAS Facility,01578.9*A,2,Mitch Crosby,mitchcrosby@co.modoc.ca.us,530-233-6412,http://www.gcr1.com/5010web/airport.cfm?Site=A28,41.8765,-120.146639,41-52-34.605N,41-52-35N,120-08-48.818W,41-52-35.4000N,120-08-47.9000W,150755.4000N,432527.9000W,120-08-49W
66,76,80,FRANKLIN FIELD AIRPORT,FRANKLIN FIELD,F72,Franklin,Sacramento,Community,4,COMMUNITY-Agriculture,General Aviation,01588.*A,3,John Pires,piresj@saccounty.net,916-875-6760,http://www.gcr1.com/5010web/airport.cfm?Site=F72,38.303917,-121.429278,38-18-17.687N,38-18-18N,121-25-46.825W,38-18-14.4000N,121-25-45.5000W,137894.4000N,437145.5000W,121-25-47W
67,240,250,FRAZIER LAKE AIRPARK,FRAZIER LAKE AIRPARK,1C9,Hollister,San Benito,Community,4,COMMUNITY,Not a NPIAS Facility,01668.11*A,5,Eric Martin,edm1822@aol.com,408-422-8873,http://www.gcr1.com/5010web/airport.cfm?Site=1C9,36.953283,-121.462639,36-57-11.819N,36-57-12N,121-27-55.773W,36-57-10.2000N,121-27-45.5000W,133030.2000N,437265.5000W,121-27-56W
68,75,79,FRENCH VALLEY AIRPORT,FRENCH VALLEY,F70,Murrieta/Temecula,Riverside,Regional,3,REGIONAL-Business/Corporate,General Aviation,01931.6*A,8,Liliana Valle,lvalle@rivco.org,951-955-9418,http://www.gcr1.com/5010web/airport.cfm?Site=F70,33.574179,-117.128473,33-34-27.0447N,33-34-27N,117-07-42.5035W,33-34-27.0447N,117-07-42.5035W,120867.0447N,421662.5035W,117-07-43W
69,78,82,FRESNO CHANDLER EXECUTIVE AIRPORT,FRESNO CHANDLER EXECUTIVE,FCH,Fresno,Fresno,Regional,3,REGIONAL-Business/Corporate,Reliever,01590.*A,6,Alicia Mirando,Alicia.Mirando@fresno.gov,559-621-4508,http://www.gcr1.com/5010web/airport.cfm?Site=FCH,36.732119,-119.820332,36-43-56.514N,36-43-57N,119-49-11.626W,36-43-55.6300N,119-49-13.1950W,132235.6300N,431353.1950W,119-49-12W
70,77,81,FRESNO YOSEMITE INTERNATIONAL AIRPORT,FRESNO YOSEMITE INT'L -139,FAT,Fresno,Fresno,Commercial/Primary,1,PRIMARY-SMALL HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01591.*A,6,Kevin Meikle,kevin.meikle@fresno.gov,559-621-4600,http://www.gcr1.com/5010web/airport.cfm?Site=FAT,36.776194,-119.718139,36-46-34.300N,36-46-34N,119-43-05.300W,36-46-34.3000N,119-43-05.3000W,132394.3000N,430985.3000W,119-43-05W
71,80,84,FULLERTON MUNICIPAL AIRPORT,FULLERTON MUNI,FUL,Fullerton,Orange,Regional,3,REGIONAL-Business/Corporate,Reliever,01593.*A,12,Brendan O'Reilly,brendanO@cityoffullerton.com,714-738-6323,http://www.gcr1.com/5010web/airport.cfm?Site=FUL,33.872014,-117.979784,33-52-19.251N,33-52-19N,117-58-47.223W,33-52-19.2510N,117-58-47.2230W,121939.2510N,424727.2230W,117-58-47W
72,97,102,FURNACE CREEK AIRPORT,FURNACE CREEK,L06,Death Valley National Park,Inyo,Community,4,COMMUNITY-Recreation,Not a NPIAS Facility,01494.61*A,9,Karen McKinlay-Jones,Karen_McKinlay-Jones@nps.gov,760-786-3245,http://www.gcr1.com/5010web/airport.cfm?Site=L06,36.4605,-116.879806,36-27-49.813N,36-27-50N,116-52-53.193W,36-27-37.8000N,116-52-47.3000W,131257.8000N,420767.3000W,116-52-53W
73,16,16,GANSNER AIRPORT,GANSNER,2O1,Quincy,Plumas,Community,4,COMMUNITY,General Aviation,02074.*A,2,Kevin Correira,kevincorreira@countyofplumas.com,530-283-6299,http://www.gcr1.com/5010web/airport.cfm?Site=2O1,39.943889,-120.945389,39-56-37.610N,39-56-38N,120-56-48.834W,39-56-38.1000N,120-56-43.4000W,143798.1000N,435403.4000W,120-56-49W
74,150,157,GARBERVILLE AIRPORT,GARBERVILLE,O16,Garberville,Humboldt,Community,4,COMMUNITY,General Aviation,01599.1*A,1,Cody Roggatz,croggatz@co.humboldt.ca.us,707 839-5402,http://www.gcr1.com/5010web/airport.cfm?Site=O16,40.085694,-123.81425,40-05-09.521N,40-05-10N,123-48-49.103W,40-05-08.5000N,123-48-51.3000W,144308.5000N,445731.3000W,123-48-49W
75,237,247,GENERAL WILLIAM J FOX AIRPORT,GEN. WILLIAM J. FOX,WJF,Lancaster,Los Angeles,Regional,3,REGIONAL-Business/Corporate,General Aviation,01754.2*A,7,Steve Irving,sirving@americanairports.net,661-940-1709,http://www.gcr1.com/5010web/airport.cfm?Site=WJF,34.741056,-118.218639,34-44-27.800N,34-44-27N,118-13-07.100W,34-44-27.8000N,118-13-07.1000W,125067.8000N,425587.1000W,118-13-08W
76,65,68,GEORGETOWN AIRPORT,GEORGETOWN,E36,Georgetown,El Dorado,Community,4,COMMUNITY,General Aviation,01608.7*A,3,Sherrie Busby,sherrie.busby@edcgov.us,530-641-5984,http://www.gcr1.com/5010web/airport.cfm?Site=E36,38.920972,-120.864833,38-55-16.010N,38-55-16N,120-51-53.260W,38-55-15.5000N,120-51-53.4000W,140115.5000N,435113.4000W,120-51-53W
77,208,218,GILLESPIE FIELD AIRPORT,GILLESPIE FIELD,SEE,San Diego/El Cajon,San Diego,Regional,3,REGIONAL-Business/Corporate,Reliever,02165.*A,11,Cathe Johnson,Catherine.Johnson@sdcounty.ca.gov,619-956-4800,http://www.gcr1.com/5010web/airport.cfm?Site=SEE,32.826222,-116.972444,32-49-34.400N,32-49-34N,116-58-20.80W,32-49-34.4000N,116-58-20.8000W,118174.4000N,421100.8000W,116-58-21W
78,62,64,GNOSS FIELD AIRPORT,GNOSS FIELD,DVO,Novato,Marin,Regional,3,REGIONAL-Business/Corporate,Reliever,01967.*A,4,Dan Jensen,djensen@marincounty.org,415-897-1754,http://www.gcr1.com/5010web/airport.cfm?Site=DVO,38.143611,-122.5561,38-08-36.670N,38-08-37N,122-33-25.980W,38-08-37.0000N,122-33-21.9600W,137317.0000N,441201.9600W,122-33-26W
79,15,15,GRAVELLY VALLEY AIRPORT,GRAVELLY VALLEY,1Q5,Upper Lake,Lake,Limited Use,5,LIMITED USE-Recreation,Not a NPIAS Facility,02387.*A,1,Frand Aebly,faebly@fs.fed.us,707-275-1401,http://www.gcr1.com/5010web/airport.cfm?Site=1Q5,39.450722,-122.954611,39-26-59.574N,39-27-00N,122-57-19.004W,39-27-02.6000N,122-57-16.6000W,142022.6000N,442636.6000W,122-57-19W
80,21,21,GUSTINE AIRPORT,GUSTINE,3O1,Gustine,Merced,Community,4,COMMUNITY-Agriculture,General Aviation,01636.*A,10,Douglas Dunford,ddunford@cityofgustine.com,209-854-6471,http://www.gcr1.com/5010web/airport.cfm?Site=3O1,37.260583,-120.96425,37-15-45.782N,37-15-46N,120-57-47.731W,37-15-38.0000N,120-57-51.3000W,134138.0000N,435471.3000W,120-57-48W
81,160,168,HAIGH FIELD AIRPORT,HAIGH FIELD,O37,Orland,Glenn,Community,4,COMMUNITY,General Aviation,01995.8*A,3,Mohammad Qureshi,airports@countyofglenn.net,530-934-6530,http://www.gcr1.com/5010web/airport.cfm?Site=O37,39.720368,-122.146358,39-43-16.471N,39-43-16N,122-08-47.943W,39-43-13.4000N,122-08-46.9000W,142993.4000N,439726.9000W,122-08-48W
82,84,88,HALF MOON BAY AIRPORT,HALF MOON BAY,HAF,Half Moon Bay,San Mateo,Regional,3,REGIONAL,Reliever,01638.*A,4,Gretchen Kelly,gkelly@smcgov.org,650-573-3700,http://www.gcr1.com/5010web/airport.cfm?Site=HAF,37.513444,-122.501167,37-30-49.786N,37-30-48N,122-30-03.921W,37-30-48.4000N,122-30-04.2000W,135048.4000N,441004.2000W,122-30-04W
83,87,91,HANFORD MUNICIPAL AIRPORT,HANFORD MUNI,HJO,Hanford,Kings,Regional,3,REGIONAL,General Aviation,01641.*A,6,Everett Ehda,eehda@ci.hanford.ca.us,559-585-2589,http://www.gcr1.com/5010web/airport.cfm?Site=HJO,36.316722,-119.627667,36-19-06.679N,36-19-07N,119-37-43.923W,36-19-00.2000N,119-37-39.6000W,130740.2000N,430659.6000W,119-37-44W
84,20,20,HAPPY CAMP AIRPORT,HAPPY CAMP,36S,Happy Camp,Siskiyou,Community,4,COMMUNITY,General Aviation,01645.*A,2,Mellisa Cummins,mcummins@co.siskiyou.ca.us,530-842-8269,http://www.gcr1.com/5010web/airport.cfm?Site=36S,41.790679,-123.388944,41-47-26.446N,41-47-26N,123-23-20.200W,41-47-26.4460N,123-23-20.2000W,150446.4460N,444200.2000W,123-23-20W
85,22,22,HARRIS RANCH AIRPORT,HARRIS RANCH,3O8,Coalinga,Fresno,Limited Use,5,LIMITED USE,Not a NPIAS Facility,01419.12*A,6,Roger Vanderberg,rvanderberg@harrisranch.com,559-935-0717 x694,http://www.gcr1.com/5010web/airport.cfm?Site=3O8,36.248111,-120.238472,36-14-52.827N,36-14-53N,120-14-15.520W,36-14-53.2000N,120-14-18.5000W,130493.2000N,432858.5000W,120-14-16W
86,74,78,HAYFORK AIRPORT,HAYFORK,F62,Hayfork,Trinity,Community,4,COMMUNITY,General Aviation,01650.01*A,2,Rick Tippett,tcdot@trinitycounty.org,530-623-1365 x3425,http://www.gcr1.com/5010web/airport.cfm?Site=F62,40.547,-123.179444,40-32-49.518N,40-32-50N,123-10-54.103W,40-32-49.2000N,123-10-46.7000W,145969.2000N,443446.7000W,123-10-54W
87,89,93,HAYWARD EXECUTIVE AIRPORT,HAYWARD EXECUTIVE,HWD,Hayward,Alameda,Metropolitan,2,METROPOLITAN-Business/Corporate,Reliever,01651.*A,4,Pamela Svrdlin,pamela.svrdlin@hayward-ca.gov,510-293-5462,http://www.gcr1.com/5010web/airport.cfm?Site=HWD,37.658917,-122.12175,37-39-32.1000N,37-39-32N,122-07-18.3000W,37-39-32.1000N,122-07-18.3000W,135572.1000N,439638.3000W,122-07-18W
88,85,89,HEALDSBURG MUNICIPAL AIRPORT,HEALDSBURG MUNI,HES,Healdsburg,Sonoma,Community,4,COMMUNITY,General Aviation,01651.7*A,4,Barry Holloway,healdsburaviation@earthlink.net,707-433-8540,http://www.gcr1.com/5010web/airport.cfm?Site=HES,38.652722,-122.898667,38-39-12.675N,38-39-13N,122-53-57.983W,38-39-09.8000N,122-53-55.2000W,139149.8000N,442435.2000W,122-53-58W
89,88,92,HEMET-RYAN AIRPORT,HEMET - RYAN,HMT,Hemet,Riverside,Regional,3,REGIONAL-Business/Corporate,General Aviation,01654.*A,8,Liliana Valle,lvalle@rivco.org,951-955-9418,http://www.gcr1.com/5010web/airport.cfm?Site=HMT,33.733992,-117.022544,33-44-02.334N,33-44-02N,117-01-21.093W,33-44-02.3700N,117-01-21.1600W,121442.3700N,421281.1600W,117-01-21W
90,82,86,HERLONG AIRPORT,HERLONG,H37,Herlong,Lassen,Limited Use,5,LIMITED USE,Not a NPIAS Facility,01661.*A,2,Peter Heimbigner,pheimbigner@co.lassen.ca.us,530-251-8299,http://www.gcr1.com/5010web/airport.cfm?Site=H37,40.138722,-120.179972,40-08-19.649N,40-08-20N,120-10-43.751W,40-08-19.4000N,120-10-47.9000W,144499.4000N,432647.9000W,120-10-44W
91,104,109,HESPERIA AIRPORT,HESPERIA,L26,Hesperia,San Bernardino,Community,4,COMMUNITY,Not a NPIAS Facility,01662.*A,8,Bruce Thielbar,deb.airporthesperia@gmail.com,760-948-1203,http://www.gcr1.com/5010web/airport.cfm?Site=L26,34.376944,-117.316056,34-22-38.004N,34-22-38N,117-18-57.162W,34-22-37.0000N,117-18-57.8000W,123757.0000N,422337.8000W,117-18-57W
92,55,57,HOLLISTER MUNICIPAL AIRPORT,HOLLISTER MUNI,CVH,Hollister,San Benito,Regional,3,REGIONAL,General Aviation,01668.*A,5,Mike Chambless,mike.chambless@hollister.ca.gov,831-636-4365 x10,http://www.gcr1.com/5010web/airport.cfm?Site=CVH,36.893345,-121.410271,36-53-36.043N,36-53-36N,121-24-36.974W,36-53-36.0430N,121-24-36.9740W,132816.0430N,437076.9740W,121-24-37W
93,153,160,HOOPA AIRPORT,HOOPA,O21,Hoopa,Humboldt,Limited Use,5,LIMITED USE,General Aviation,01674.*A,1,Mike Hostler,hvtroads@gmail.com,530-625-4017,http://www.gcr1.com/5010web/airport.cfm?Site=O21,41.041472,-123.667806,41-02-34.468N,41-02-34N,123-40-06.202W,41-02-29.3000N,123-40-04.1000W,147749.3000N,445204.1000W,123-40-06W
94,83,87,HYAMPOM AIRPORT,HYAMPOM,H47,Hyampom,Trinity,Community,4,COMMUNITY,Not a NPIAS Facility,01678.*A,2,Rick Tippett,tcdot@trinitycounty.org,530-623-1365 x3425,http://www.gcr1.com/5010web/airport.cfm?Site=H47,40.625611,-123.4685,40-37-39.507N,40-37-40N,123-28-14.131W,40-37-32.2000N,123-28-06.6000W,146252.2000N,444486.6000W,123-28-14W
95,90,94,IMPERIAL COUNTY AIRPORT,IMPERIAL COUNTY -139,IPL,Imperial,Imperial,Commercial,1,Commercial Service Non-Primary,Commercial Service Non-Pr,01683.*A,11,Sandy Gutierrez-Carver,sandygutierrez@co.imperial.ca.us,442-265-3220 x5,http://www.gcr1.com/5010web/airport.cfm?Site=IPL,32.834219,-115.578744,32-50-03.193N,32-50-03N,115-34-43.484W,32-50-03.1900N,115-34-43.4800W,118203.1900N,416083.4800W,115-34-43W
96,19,19,INDEPENDENCE AIRPORT,INDEPENDENCE,2O7,Independence,Inyo,Community,4,COMMUNITY,General Aviation,01686.*A,9,Mike Earrante,mearrante@inyocounty.us,760-878-0205,http://www.gcr1.com/5010web/airport.cfm?Site=2O7,36.816372,-118.204933,36-48-49.756N,36-48-50N,118-12-18.344W,36-48-58.9406N,118-12-17.7572W,132538.9406N,425537.7572W,118-12-18W
97,91,95,INYOKERN AIRPORT,INYOKERN - 139,IYK,Inyokern,Kern,Regional,3,REGIONAL-Business/Corporate,General Aviation,01695.*A,6,Scott Seymour,scott@inyokernairport.com,760-377-5844,http://www.gcr1.com/5010web/airport.cfm?Site=IYK,35.658741,-117.829533,35-39-31.835N,35-39-32N,117-49-46.244W,35-39-31.4686N,117-49-46.3170W,128371.4686N,424186.3170W,117-49-46W
98,47,48,JACK MCNAMARA FIELD AIRPORT,JACK MCNAMARA FIELD -139,CEC,Crescent City,Del Norte,Commercial,1,Commercial Service Non-Primary,Commercial Service Non-Pr,01464.*A,1,Susan Daugherty,airport@co.del-norte.ca.us,707-464-7288,http://www.gcr1.com/5010web/airport.cfm?Site=CEC,41.780167,-124.236528,41-46-48.566N,41-46-49N,124-14-11.520W,41-46-48.6000N,124-14-11.5000W,150408.6000N,447251.5000W,124-14-12W
99,86,90,JACK NORTHROP FIELD/HAWTHORNE MUNICIPAL AIRPORT,JACK NORTHROP FIELD,HHR,Hawthorne,Los Angeles,Metropolitan,2,METROPOLITAN-Business/Corporate,Reliever,01647.*A,7,Guido Fernandez,gfernandez@cityofhawthorne.org,310-349-1637,http://www.gcr1.com/5010web/airport.cfm?Site=HHR,33.92284,-118.335187,33-55-22.223N,33-55-22N,118-20-06.674W,33-55-22.2230N,118-20-06.6740W,122122.2230N,426006.6740W,118-20-07W
100,227,237,JACQUELINE COCHRAN REGIONAL AIRPORT,JACQUELINE COCHRAN REGIONAL,TRM,Thermal,Riverside,Regional,3,REGIONAL-Business/Corporate,General Aviation,02017.2*A,8,Liliana Valle,lvalle@rivco.org,951-955-9418,http://www.gcr1.com/5010web/airport.cfm?Site=TRM,33.626667,-116.159667,33-37-40.438N,33-37-40N,116-09-36.430W,33-37-36.0000N,116-09-34.8000W,121056.0000N,418174.8000W,116-09-36W
101,119,125,JACUMBA AIRPORT,JACUMBA,L78,Jacumba,San Diego,Limited Use,5,LIMITED USE,Not a NPIAS Facility,01704.*A,11,Cathe Johnson,Catherine.Johnson@sdcounty.ca.gov,619-956-4800,http://www.gcr1.com/5010web/airport.cfm?Site=L78,32.615861,-116.165361,32-37-00.226N,32-36-57N,116-09-53.059W,32-36-57.1000N,116-09-55.3000W,117417.1000N,418195.3000W,116-09-55W
102,215,225,"JOHN WAYNE AIRPORT, ORANGE CO.",JOHN WAYNE -139,SNA,Santa Ana,Orange,Commercial/Primary,1,PRIMARY-MEDIUIM HUB-METROPOLITAN-Business/Corporat,Commercial Service Primar,02230.*A,12,"Barry Rondinella, AAE/CAE",Brondinella@ocair.com,949-252-5183,http://www.gcr1.com/5010web/airport.cfm?Site=SNA,33.675667,-117.868222,33-40-32.371N,33-40-32N,117-52-05.601W,33-40-32.4000N,117-52-05.6000W,121232.4000N,424325.6000W,117-52-06W
103,96,101,KERN VALLEY AIRPORT,KERN VALLEY,L05,Kernville,Kern,Community,4,COMMUNITY-Recreation,General Aviation,01710.1*A,6,Ron Brewster,brewsterr@kerncounty.com,661-391-1824,http://www.gcr1.com/5010web/airport.cfm?Site=L05,35.728222,-118.419722,35-43-41.825N,35-43-42N,118-25-11.305W,35-43-41.6000N,118-25-11.0000W,128621.6000N,426311.0000W,118-25-11W
104,152,159,KINGDON AIRPARK AIRPORT,KINGDON AIRPARK,O20,Lodi,San Joaquin,Limited Use,5,LIMITED USE-Agriculture,Not a NPIAS Facility,01783.*A,10,Rick Grewal,agproject@sbcglobal.net,209-334-2961,http://www.gcr1.com/5010web/airport.cfm?Site=O20,38.091586,-121.359393,38-05-29.711N,38-05-30N,121-21-33.815W,38-05-29.7110N,121-21-33.8150W,137129.7110N,436893.8150W,121-21-34W
105,151,158,KNEELAND AIRPORT,KNEELAND,O19,Eureka,Humboldt,Community,4,COMMUNITY-Firefighting,General Aviation,01559.1*A,1,Cody Roggatz,croggatz@co.humboldt.ca.us,707 839-5402,http://www.gcr1.com/5010web/airport.cfm?Site=O19,40.719056,-123.927222,40-43-09.480N,40-43-09N,123-55-39.191W,40-43-08.6000N,123-55-38.0000W,146588.6000N,446138.0000W,123-55-39W
106,229,239,LAKE TAHOE AIRPORT,LAKE TAHOE - 139 i,TVL,South Lake Tahoe,El Dorado,Regional,3,REGIONAL-Business/Corporate,General Aviation,02303.7*A,3,Mark Gibbs,mgibbs@cityofslt.us,530-542-6182,http://www.gcr1.com/5010web/airport.cfm?Site=TVL,38.893882,-119.995335,38-53-37.9740N,38-53-38N,119-59-43.2050W,38-53-38.0000N,119-59-43.2000W,140018.0000N,431983.2000W,119-59-43W
107,8,8,LAMPSON FIELD AIRPORT,LAMPSON FIELD,1O2,Lakeport,Lake,Regional,3,REGIONAL,General Aviation,01743.*A,1,Scott DeLeon,scott.deleon@lakecountyca.gov,707-263-2341,http://www.gcr1.com/5010web/airport.cfm?Site=1O2,38.990611,-122.900722,38-59-24.629N,38-59-25N,122-53-58.983W,38-59-26.2000N,122-54-02.6000W,140366.2000N,442442.6000W,122-53-59W
108,155,162,LEE VINING AIRPORT,LEE VINING,O24,Lee Vining,Mono,Limited Use,5,LIMITED USE-Recreation,General Aviation,01764.1*A,9,Garrett Higerd,ghigerd@mono.ca.gov,760-932-5457,http://www.gcr1.com/5010web/airport.cfm?Site=O24,37.957778,-119.105806,37-57-29.731N,37-57-30N,119-06-23.535W,37-57-28.0000N,119-06-20.9000W,136648.0000N,428780.9000W,119-06-24W
109,125,132,LINCOLN REGIONAL AIRPORT / KARL HARDER FIELD,LINCOLN REGIONAL,LHM,Lincoln,Placer,Regional,3,REGIONAL-Business/Corporate,Reliever,01772.*A,3,Jennifer Hanson,jhanson@ci.lincoln.ca.us,916-434-3248,http://www.gcr1.com/5010web/airport.cfm?Site=LHM,38.909167,-121.351333,38-54-32.980N,38-54-33N,121-21-04.810W,38-54-33.0000N,121-21-04.8000W,140073.0000N,436864.8000W,121-21-05W
110,126,133,LITTLE RIVER AIRPORT,LITTLE RIVER,LLR,Little River,Mendocino,Community,4,COMMUNITY,General Aviation,01778.*A,1,Howard Dashiell,dot@co.mendocino.ca.us,707-463-4363,http://www.gcr1.com/5010web/airport.cfm?Site=LLR,39.262038,-123.753735,39-15-43.336N,39-15-43N,123-45-13.445W,39-15-43.4000N,123-45-13.6000W,141343.4000N,445513.6000W,123-45-13W
111,129,136,LIVERMORE MUNICIPAL AIRPORT,LIVERMORE MUNI,LVK,Livermore,Alameda,Metropolitan,2,METROPOLITAN-Business/Corporate,Reliever,01779.2*A,4,David Decoteau,dbdecoteau@cityoflivermore.net,925-960-8220,http://www.gcr1.com/5010web/airport.cfm?Site=LVK,37.693389,-121.820361,37-41-36.238N,37-41-36N,121-49-13.267W,37-41-36.2000N,121-49-13.3000W,135696.2000N,438553.3000W,121-49-13W
112,109,114,LODI AIRPARK AIRPORT,LODI AIRPARK,L53,Lodi,San Joaquin,Limited Use,5,LIMITED USE-Agriculture,Not a NPIAS Facility,01784.*A,10,Peter Precissi,pfs@clearwire.net,209-369-4408,http://www.gcr1.com/5010web/airport.cfm?Site=L53,38.084087,-121.316337,38-05-02.7130N,38-05-03N,121-18-58.8130W,38-05-02.7130N,121-18-58.8130W,137102.7130N,436738.8130W,121-18-59W
113,9,9,LODI AIRPORT,LODI,1O3,Lodi,San Joaquin,Community,4,COMMUNITY-Recreation,Not a NPIAS Facility,01782.*A,10,Bob Kupka,rkupka@lodiairport.com,209-369-9126,http://www.gcr1.com/5010web/airport.cfm?Site=1O3,38.202475,-121.269194,38-12-08.910N,38-12-09N,121-16-06.099W,38-12-08.9107N,121-16-09.0992W,137528.9107N,436569.0992W,121-16-06W
114,127,134,LOMPOC AIRPORT,LOMPOC,LPC,Lompoc,Santa Barbara,Community,4,COMMUNITY,General Aviation,01788.2*A,5,Richard Fernbaugh,r_fernbaugh@ci.lompoc.ca.us,805-875-8268,http://www.gcr1.com/5010web/airport.cfm?Site=LPC,34.665619,-120.467503,34-39-56.197N,34-39-56N,120-28-00.438W,34-39-56.2300N,120-28-03.0100W,124796.2300N,433683.0100W,120-28-00W
115,156,163,LONE PINE AIRPORT,LONE PINE,O26,Lone Pine,Inyo,Community,4,COMMUNITY,General Aviation,01791.*A,9,Mike Earrante,mearrante@inyocounty.us,760-878-0205,http://www.gcr1.com/5010web/airport.cfm?Site=O26,36.588267,-118.052031,36-35-17.760N,36-35-18N,118-03-07.313W,36-35-19.3000N,118-02-57.8000W,131719.3000N,424977.8000W,118-03-07W
116,124,131,LONG BEACH AIRPORT DAUGHERTY FIELD,LONG BEACH -139,LGB,Long Beach,Los Angeles,Commercial/Primary,1,PRIMARY-SMALL HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01794.*A,7,Jess Romo,lgbarpt@longbeach.gov,562-570-2619,http://www.gcr1.com/5010web/airport.cfm?Site=LGB,33.817777,-118.151651,33-49-03.800N,33-49-04N,118-09-05.800W,33-49-03.9975N,118-09-05.9436W,121743.9975N,425345.9436W,118-09-06W
117,166,174,LONNIE POOL FIELD-WEAVERVILLE,LONNIE POOL FIELD,O54,Weaverville,Trinity,Community,4,COMMUNITY-Recreation,General Aviation,02431.1*A,2,Rick Tippett,tcdot@trinitycounty.org,530-623-1365,http://www.gcr1.com/5010web/airport.cfm?Site=O54,40.74725,-122.922333,40-44-44.520N,40-44-45N,122-55-19.092W,40-44-50.1000N,122-55-20.4000W,146690.1000N,442520.4000W,122-55-19W
118,123,130,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES INT'L -139,LAX,Los Angeles,Los Angeles,Commercial/Primary,1,PRIMARY-LARGE HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01818.*A,7,Lew Winslow,lwinslow@lawa.org,424-646-5884,http://www.gcr1.com/5010web/airport.cfm?Site=LAX,33.942522,-118.407161,33-56-33.130N,33-56-33N,118-24-29.068W,33-56-32.9838N,118-24-29.0462W,122192.9838N,426269.0462W,118-24-29W
119,128,135,LOS BANOS MUNICIPAL AIRPORT,LOS BANOS MUNI,LSN,Los Banos,Merced,Community,4,COMMUNITY-Agriculture,General Aviation,01839.*A,10,Greg Pimentel,greg.pimentel@losbanos.org,209-827-7056 x7056,http://www.gcr1.com/5010web/airport.cfm?Site=LSN,37.063889,-120.869861,37-03-50.00N,37-03-50N,120-52-11.500W,37-03-50.0000N,120-52-11.5000W,133430.0000N,435131.5000W,120-52-12W
120,132,139,MADERA MUNICIPAL AIRPORT,MADERA MUNI,MAE,Madera,Madera,Regional,3,REGIONAL-Business/Corporate,General Aviation,01853.*A,6,John Scarborough,jscarborough@cityofmadera.com,559-661-3687,http://www.gcr1.com/5010web/airport.cfm?Site=MAE,36.988611,-120.112444,36-59-08.583N,36-59-09N,120-06-43.144W,36-59-19.0000N,120-06-44.8000W,133159.0000N,432404.8000W,120-06-43W
121,139,146,MAMMOTH YOSEMITE AIRPORT,MAMMOTH YOSEMITE -139,MMH,Mammoth Lakes,Mono,Commercial/Primary,1,PRIMARY-NON HUB-REGIONAL-Business/Corporate,Commercial Service Primar,01857.*A,9,Brian Picken,bpicken@townofmammothlakes.ca.gov,760-965-3620,http://www.gcr1.com/5010web/airport.cfm?Site=MMH,37.624056,-118.83875,37-37-26.575N,37-37-27N,118-50-15.980W,37-37-26.6000N,118-50-19.5000W,135446.6000N,427819.5000W,118-50-16W
122,181,189,MARINA MUNICIPAL AIRPORT,MARINA MUNI,OAR,Marina,Monterey,Community,4,COMMUNITY,General Aviation,01860.*A,5,Jeff Crechriou,jcrechriou@cityofmarina.org,831-384-2901,http://www.gcr1.com/5010web/airport.cfm?Site=OAR,36.681528,-121.761667,36-40-54.850N,36-40-55N,121-45-44.817W,36-40-53.5000N,121-45-42.0000W,132053.5000N,438342.0000W,121-45-45W
